,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,param_reg_alpha,param_silent,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,split16_train_score,split17_train_score,split18_train_score,split19_train_score,mean_train_score,std_train_score
20,5.821216249465943,0.05287018657608339,0.02335834503173828,0.0005278859405002027,0.45,10,250,0.015,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 250, 'reg_alpha': 0.015, 'silent': 1, 'subsample': 0.95}",0.9057912348877375,0.905440414507772,0.8802892918825561,0.8689281088082901,0.8322538860103627,0.9117821675302245,0.9094343696027634,0.8922171848013817,0.8609304376584721,0.9269099327527286,0.9183662220262374,0.864044758020064,0.9117792966596847,0.8262870686804101,0.8889042001984346,0.9042139249937908,0.9046830587521041,0.9152523663658693,0.8980875900322876,0.923420812981207,0.8924436825271748,0.02789028552358857,1,1.0,1.0,1.0,1.0,0.9999999242234802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999243075828,1.0,1.0,1.0,1.0,1.0,1.0,0.999999992426553,2.2720344450419932e-08
22,11.28306325674057,0.07723981950223599,0.0445293664932251,0.0014783115958325718,0.45,10,500,0.01,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.9043609671848014,0.9005289291882557,0.8879803540587219,0.8661215457685666,0.841321243523316,0.9000701640759932,0.907882664075993,0.8911377374784111,0.8575956344394224,0.9178976959541396,0.9205434902436336,0.8576783155109691,0.9040761768272517,0.8373801124462573,0.8884907948407011,0.907608245715705,0.9064216132682065,0.9120374203162513,0.9033584457874548,0.9190882247426663,0.891571429270975,0.024998858531735075,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,5.82688924074173,0.06084483776448361,0.023539161682128905,0.000568092178415285,0.45,10,250,0.01,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 250, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.910810664939551,0.9033624784110535,0.8854436528497409,0.8737046632124352,0.8420363773747842,0.9067627374784111,0.9073024611398963,0.883932426597582,0.8565207805093155,0.9156101863080146,0.9172362473817661,0.8572373497960534,0.9030702237901004,0.8433193694190277,0.8852386726931981,0.8979496095151365,0.9066699781990782,0.9209647597759197,0.8951348069652565,0.9185914948809228,0.8915388071590045,0.024368415068513845,3,1.0,0.9999996968939204,1.0,1.0,0.9999998484469602,0.9999997726704404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999965900566,8.463596165477454e-08
23,11.273818576335907,0.08055248717297833,0.044331717491149905,0.00126819401656554,0.45,10,500,0.015,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.015, 'silent': 1, 'subsample': 0.95}",0.8999757124352331,0.9011226252158895,0.8772128670120899,0.8659056563039725,0.8378130397236615,0.9029306994818653,0.9101360103626943,0.8953205958549223,0.8589736522985337,0.9293076838275824,0.9161889538088414,0.8641412192702017,0.9105115202293022,0.8245369859993387,0.8886285966266122,0.9125203521262798,0.9004056627204239,0.9088500703700638,0.9020890250296659,0.9216546623616746,0.8914033850034169,0.027332628517095822,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,16.567765152454378,0.16438954866559385,0.0651955246925354,0.003558277856776837,0.45,10,750,0.01,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 750, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.9032815198618308,0.8975064766839379,0.884445164075993,0.8628427245250432,0.8419958981001727,0.893984779792746,0.9060880829015544,0.8910837651122626,0.8581744019402491,0.9175669716679529,0.9229136809613052,0.8558868922941242,0.9045860434351229,0.8344587145849409,0.8903786793076839,0.9145072715732538,0.9047658470623947,0.9073874768882635,0.9077186301294258,0.9172116897094131,0.8908305142820834,0.025553726397818024,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,5.8377232670784,0.06857779583701677,0.023348903656005858,0.0005368127726972992,0.45,10,250,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 250, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.9050895941278065,0.9084898531951641,0.8810179188255614,0.8661755181347149,0.8378939982728842,0.9075183506044906,0.9083009499136442,0.8924330742659757,0.8583397640833426,0.9210946973872782,0.9169055230955793,0.8443666629919524,0.903263146290376,0.8427681622753832,0.890998787344284,0.8983911471700196,0.8961558627921737,0.90832574440489,0.8982255705494385,0.9219306233959765,0.8903789210546954,0.0257815062115802,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,8.93351753950119,0.10288711699591167,0.0367645263671875,0.0007785997555795999,0.45,8,500,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.8901932210708118,0.9160729706390328,0.8840808506044905,0.8586193868739206,0.8334682642487047,0.8883311744386875,0.9147506476683938,0.8886550086355786,0.8679858890971227,0.9268272516811819,0.9198958218498511,0.8591390144416271,0.8986330062837614,0.8482251129974645,0.8820416712600595,0.9151971741590088,0.8983635510665894,0.904517482131523,0.891823274553633,0.9206887987416177,0.8903676934062377,0.02543893645013155,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,11.263070321083068,0.12277409582155913,0.04405900239944458,0.0017304785999918493,0.45,10,500,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.9024179620034543,0.9032275474956822,0.8760389680483592,0.8607378022452503,0.8397830310880828,0.9003670120898101,0.9073024611398963,0.897317573402418,0.8569893065814133,0.9218939477455628,0.9191930327417044,0.8483353544261933,0.9092161834417374,0.8403152904861647,0.8880498291257856,0.9085465132323316,0.8986671082043216,0.901978640615945,0.9069735353368105,0.9191986091563871,0.8903202123726028,0.02607794707493737,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,10.707101714611053,0.45758914214252316,0.041023218631744386,0.0033652206103096946,0.45,9,500,0.015,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.015, 'silent': 1, 'subsample': 0.95}",0.8990177029360966,0.91010902417962,0.8715187823834197,0.8651770293609672,0.8257232297063902,0.900070164075993,0.9161539291882557,0.893971286701209,0.8574027119391467,0.9299415720427737,0.9209017748870025,0.8565207805093153,0.9022709734318157,0.8292911476132732,0.8843567412633667,0.9068355548196595,0.903386041890885,0.9102022794381434,0.9001572977895521,0.9213924993790876,0.8902120366386606,0.02910207959309481,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,10.213834214210511,0.20157618196525193,0.04054538011550903,0.0012458859707747075,0.45,9,500,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.8988692789291882,0.9097312176165803,0.8779145077720207,0.8678486614853196,0.8371923575129533,0.9083279360967185,0.9052515112262522,0.8915965025906736,0.8586842685481204,0.9297486495424981,0.9189174291698821,0.8670350567743358,0.9046411641494874,0.82616304707309,0.891109028773013,0.9068079587162292,0.8971217264122305,0.9041863288903607,0.8895879901757872,0.9132930430223252,0.8901962029013446,0.026227362146405715,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
