,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,param_reg_alpha,param_silent,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,split16_train_score,split17_train_score,split18_train_score,split19_train_score,mean_train_score,std_train_score
159,11.87869507074356,0.2622870633481524,0.04431133270263672,0.01036036505091288,0.5,9,500,0.01,1,0.95,"{'colsample_bytree': 0.5, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.8890598013816926,0.9105947754749568,0.8853357081174439,0.8604814335060449,0.8338730569948186,0.8907869170984456,0.9047657599309155,0.8979382556131259,0.8549222797927462,0.9242641384632345,0.9100429941572042,0.8551978833645685,0.9075625620108038,0.8299801565428288,0.8848803880498292,0.9183155338466208,0.9056213262687308,0.901537102961062,0.9021442172365262,0.9077738223362861,0.8887460427500203,0.026754867063807662,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
167,11.922959327697754,0.2906064167238335,0.0421692967414856,0.002073882375049544,0.5,9,500,0.05,1,0.95,"{'colsample_bytree': 0.5, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.05, 'silent': 1, 'subsample': 0.95}",0.8871167962003453,0.910918609671848,0.8803432642487047,0.8491742227979275,0.8316601899827288,0.8925410189982729,0.9065198618307426,0.8895725388601037,0.8520560026457943,0.929748649542498,0.920350567743358,0.8412661228089516,0.9050545695072207,0.8307794069011135,0.8781556608973653,0.9169357286751111,0.904931423682976,0.899715760134669,0.8975080718602534,0.9219858156028369,0.8873072420891263,0.030047812074791173,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
171,22.928017091751098,0.557779006730212,0.08090032339096069,0.00468915804306684,0.5,9,1000,0.01,1,0.95,"{'colsample_bytree': 0.5, 'max_depth': 9, 'n_estimators': 1000, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.886253238341969,0.9098661485319517,0.8809369602763385,0.8569732297063903,0.8380019430051813,0.8844721502590673,0.9050086355785837,0.8941332037996546,0.8494102083563003,0.9201025245287179,0.9133502370190718,0.8538887663984125,0.9082791312975416,0.8142845331275492,0.8850319700143314,0.9232276402571957,0.9075668515605596,0.8984049452217346,0.9074150729916935,0.9080773794740183,0.8872250369310982,0.029165147392274986,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
118,19.863432741165163,0.9760223290408649,0.08544498682022095,0.024564546842224706,0.5,7,500,0.05,1,0.8,"{'colsample_bytree': 0.5, 'max_depth': 7, 'n_estimators': 500, 'reg_alpha': 0.05, 'silent': 1, 'subsample': 0.8}",0.8851468048359241,0.9043069948186528,0.8687392055267703,0.8624784110535405,0.825993091537133,0.8895185664939551,0.9046038428324698,0.8901122625215888,0.8577334362253335,0.9274060191820086,0.9226380773894831,0.865257413736082,0.9129368316613383,0.8303935619005622,0.8850181898357402,0.9004056627204239,0.9008472003753071,0.9092916080249469,0.8841791539034689,0.9115820846096532,0.8869211077813585,0.02727712384292521,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
162,12.695265138149262,0.3578223739242993,0.04432475566864014,0.004071047700552447,0.5,9,500,0.03,1,0.8,"{'colsample_bytree': 0.5, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.03, 'silent': 1, 'subsample': 0.8}",0.8876025474956821,0.9014464594127806,0.8714917962003454,0.8347366148531952,0.8427784974093263,0.8829609240069085,0.8990716753022453,0.8867929620034543,0.8636037923051483,0.9255594752507993,0.923602689890861,0.8567412633667731,0.9072869584389813,0.8307794069011134,0.8862308455517582,0.9121616027816871,0.903386041890885,0.901840660098794,0.9023373899605376,0.9101470872312829,0.8865167903371461,0.027432400555894826,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
166,12.633497679233551,0.3288506103319057,0.04332641363143921,0.001977921203676795,0.5,9,500,0.05,1,0.8,"{'colsample_bytree': 0.5, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.05, 'silent': 1, 'subsample': 0.8}",0.8880613126079447,0.907977115716753,0.8658786701208981,0.8570541882556131,0.8388115284974093,0.8940792314335061,0.9003400259067358,0.8784812176165803,0.8512843126446918,0.9283430713262044,0.9217285856024694,0.8553770256862528,0.9122478227317826,0.8285883585051262,0.8796714805423879,0.9123271794022684,0.9029996964428623,0.9029445042360018,0.8916576979330518,0.9104230482655851,0.8864047143587366,0.027763472205361402,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
111,9.532874596118926,0.38131248309499094,0.03437173366546631,0.00414211598360851,0.5,7,500,0.01,1,0.95,"{'colsample_bytree': 0.5, 'max_depth': 7, 'n_estimators': 500, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.8952666234887737,0.9131854490500864,0.8750539723661485,0.8515490069084628,0.8236992659758203,0.9022560449050085,0.9043609671848014,0.8911107512953368,0.8532410980046302,0.9176772130966817,0.9146731341638187,0.845165913350237,0.8966486605666409,0.8430713262043876,0.8786241869694631,0.9118580456439551,0.8964870160333361,0.9068631509230898,0.8933134641388637,0.907746226232856,0.8860853693580949,0.027350219980485414,7,0.9999997726704404,0.9999999242234802,1.0,1.0,0.9999998484469602,0.9999997726704404,0.9999998484469603,0.9999999242234802,0.9999999243075828,1.0,0.9999998486151656,1.0,0.9999999243075828,0.9999997729227483,0.9999997729227483,0.9999998486254892,1.0,1.0,1.0,1.0,0.9999999091191538,8.832048302880611e-08
78,14.492286038398742,0.4949060864063582,0.05383564233779907,0.009193391747782114,0.5,5,1000,0.03,1,0.8,"{'colsample_bytree': 0.5, 'max_depth': 5, 'n_estimators': 1000, 'reg_alpha': 0.03, 'silent': 1, 'subsample': 0.8}",0.8929188255613126,0.9153983160621763,0.8699535837651122,0.8582145941278065,0.8103680915371331,0.9024449481865284,0.9026068652849741,0.8813282599309153,0.8515047955021497,0.9320637195458052,0.9093264248704663,0.8502094587145851,0.9079759673685371,0.8334527615477898,0.8756476683937824,0.90973314567983,0.9052073847172779,0.9138173689874989,0.8946104810000829,0.9046830587521042,0.8860639447198433,0.030701125721022987,8,1.0,1.0,1.0,1.0,0.9999999242234802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999243127445,1.0,1.0,1.0,1.0,0.9999999924268114,2.2719570678916478e-08
110,9.818780875205993,0.271875904068714,0.03620877265930176,0.0044694953393249635,0.5,7,500,0.01,1,0.8,"{'colsample_bytree': 0.5, 'max_depth': 7, 'n_estimators': 500, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.8}",0.8911377374784111,0.9094883419689119,0.8718021373056996,0.8505235319516407,0.8117308937823834,0.893674438687392,0.906749244386874,0.8869278929188255,0.8652022930217176,0.9288667181126667,0.9127990298754272,0.8433193694190277,0.9031804652188292,0.8333425201190607,0.8865615698379451,0.9030272925462924,0.9154179429864503,0.9041311366835003,0.893644617380026,0.9098987223004111,0.8860613882265412,0.030033480097716145,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
158,12.62525041103363,0.35269608181755197,0.04332443475723267,0.0013204288325342677,0.5,9,500,0.01,1,0.8,"{'colsample_bytree': 0.5, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.8}",0.8852007772020726,0.9043069948186528,0.8632475172711572,0.849309153713299,0.8208117443868739,0.9001241364421416,0.902903713298791,0.8882502158894645,0.8609304376584721,0.9266481093594973,0.9230514827472164,0.8548671590783815,0.9055782162936832,0.8204304927791863,0.8966211002094586,0.9078290145431465,0.9001848938929823,0.89703893810194,0.8941689433451997,0.9194469740872588,0.8860375723537454,0.030286497034527373,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
